description,name
Research Cam provides an affordable way for volunteers to become involved in African wildlife Conservation,African wildlife Conservation
"   The Different Travel Company operates adventure holidays and charity challenges in the UK and overseas, as well as opportunities to make a real difference to a community abroad by assisting with an international community project.  ",The Different Travel Company
"   In a world fast-paced by routine and where the most important values are forgotten, the Hearts and Journeys wants to provide authentic moments, emotions and experiences, with a strong sharing human experience, creating remarkable memories to later remember.  ",Hearts &amp; Journeys  Volunteer | Tourism
Our projects in Sumatra operate through the Orangutan Information Centre (SOS-OIC).,Sumatran Orangutan Society (SOS)
We exist to provide education to the quarter of Latin American children who are not in school.,Bruce Peru
"   GVDA is a leading International non-profit making organization established in Kenya in 1997 . Its main aim is to play an active role within the international role exchange that promotes international understanding, intellectual learning and tolerance.  ",GVDA/Global Voluntary Development  Association
Village Nepal Volunteer (VNV) program in Okhaldhunga district,Village Nepal Volunteer (VNV)
"... a cultural and Spanish language school located in the heart of San Cristóbal de las Casas in Chiapas, Mexico, offers a range of Spanish classes specifically tailored for the pace of each student.",La Casa en el Árbol
The is Thai Child Development Foundation aThai/Dutch initiative set up in 2004.,Thai Child Development Foundation; TCDF.
"The Mirror Foundation, a non-profit non-government organization (NGO) working in the Mae Yao sub-district of Chiang Rai province in northern Thailand. ",Mirror Art Group
Instruct football to a team which was formed from an orphanage in a small town in Ghana.,Ghana Football Coaching
Volunteer Africa is run by a team of committed returned volunteers with the dual aims of enabling people to make a difference to the lives of rural Africans and to raise funds for our partner NGOs.,Volunteer Africa
Cartagenitos provide free access to information for anybody who wants to volunteer in Colombia and help children in Cartagena.,Cartagenitos 
"NUCBACD strives to create awareness on the human rights of disabled children in Northern Uganda, and improve on their lives. ",Northern Uganda Community Based Action for Children with Disabilities
"War Child International is a network of independent organisations, working across the world to help children affected by war. ",War Child
"   INBio Costa RicaThe National Biodiversity Institute (INBio) of Costa Rica is a private research and biodiversity management center, established in 1989 to support all efforts made to gather knowledge on the country’s biological diversity and promote its sustainable use.   ",The National Biodiversity Institute (INBio)
"Uganda Society for Disabled Children (USDC) is a local Non Government Organisation (NGO), committed to recognising and equalising the rights of children with disabilities.",Uganda Society for Disabled Children (USDC)
"PBI Colombia operates as observers in four areas of Colombia, accompanying people or organizations under threat, making regular visits to conflict zones, distributing information about the evolution of the conflict...",PBI Colombia
At GJ we have a vision to integrate disadvantaged youth and wiser elders. Actually we're inspired - inspired to mentor young people. So that they devise programmes that work with their elders.,Generation Journey
   We provide volunteer opportunities to people around the world who want to become part of our volunteer community in Zimbabwe.  ,Musha Care Foundation Zimbabwe
"   A partner organization to Youth Crime Watch of America and all other Youth Crime Watch organizations through out the world. In Liberia, we help schools and communities Liberia start and sustain their crime watch programs.  ",Youth Crime Watch of Liberia
FL Faith Child Orphanage is non-government and non-profit organization that is providing humanitarian service to man kind to the rural children,FL Faith Child Foundation
"   The YMCA of the Rockies operates two year round destination family resorts serving up to 7000 guests per night on each side of Rocky Mountain National Park: Estes Park Center located in Estes Park, CO; Snow Mountain Ranch located in Winter Park, CO.   ",YMCA of the Rockies Family Resorts &amp; Conference Centers
"Social and Eco Tourism in South Africa: come see the real South Africa in all its complexity and beauty, while having fun, learning and helping those in need.",Touch the Heart of Africa (TtHoA)
"Whether you are looking for print and online journalism experience at magazines or newspapers, broadcast journalism experience at TV or Radio stations or the opportunity to work in film production, we can arrange a placement that will make you stand out and get you noticed!",Global Media Projects
"   Sudan Volunteer Programme is a London based charity sending graduates and near-graduates to Sudan to teach English at schools, colleges and universities.  ",Sudan Volunteer Programme
Social Mobilization Network (SOMONET). Somonet is a Juvenile Hockey Academy committed to the development and promotion in Ghana. ,Social Mobilization Network (SOMONET)
"The Metta Experiment is an experiment in loving kindness above all, we find unity in diversity and loving kindness in all things.",Metta Experiment
"We are 100% non profit, your donation goes to support our work not in our pockets and what's more we are cheaper than most commercial organisations.",Que Rico
"   Beacon of Hope Uganda is working to provide quality, meaningful and affordable volunteer travel opportunities in Uganda.   ",Beacon of Hope Uganda
"Mariposas Amarillas is a small Colombian grassroots organization committed to supporting disadvantaged children and families around Santa Marta, Colombia.",Mariposas Amarillas
   If you spend your holidays on Koh Samui and want to help at the DRCS you are most welcome to do so! There is a lot of work to do and previous experience is not required. Everybody can cuddle dogs and cats! About 350 dogs and 100 cats are waiting to be cuddled.  ,Dog and Cat Rescue Foundation (DRCS)
"Volunteers will work with children with moderate to profound learning disabilities between the ages of 0-18 currently living in the governmental 'family type homes' in Slatina, Romania, with the possibility of also working within 3 local adult institutions and a maternal centre.",Close to You Association
"Travel abroad programs for Chinese students and citizens including summer work and travel, intern, summer camps, international high school exchange abroad...",UNIS Education Institution
"PAPER MILL PLAYHOUSE, a not-for-profit arts organization, is one of the country's leading regional theaters.",PAPER MILL PLAYHOUSE
The school is dedicated to teaching the Spanish language to foreigners. As a beginner you can obtain a solid basic level of Spanish in two weeks.,Spanish School Peru
Nouvelle Planète is an international non-profit organization,Nouvelle Planète
   We are a travel and volunteer placement organization operating in Kenya.  ,Kuffet Tours
"Campo Aventura is a 12 years old company founded in values.  Leader in summer camps,receives 60.000 children per year.  ",Campo Aventura - summer camp
"Volunteer at a working cattle ranch in Patagonia, Argentina! Ride with the gauchos (cowboys). Incredible opportunity for horse lovers or to improve your Spanish with a ranch stay. We are located near Chile in the Andes. ",Estancia Ranquilco
Our Travel-n-Work Program is a recent addition to the growing Sprachcaffe family.,Travel-n-Work
"We are a bilingual primary school in Ocotepeque, Honduras. We provide the children of our community with a quality and well-rounded bilingual education creating a brighter future. ",My Little Red House Bilingual School
"Our goal is to encourage sustainable dolphin tourism resulting in the conservation of our most precious natural resource, the   dolphins of Ponta do Ouro. ",DolphinCare-Africa
"(UAC) is a Non-Governmental Organisation based in Buea, South West Province, Cameroon. ",UAC
"Bali welcomes you with warm hospitality, magic and love. Give something back to its people, communities and its nature by supporting the companies and organizations.",BaliInternships
Volunteer in Togo (Website is in French),J2A-TOGO
"   Nepal Volunteer is the leading Kathmandu based volunteer, project empowered by RCDP-Nepal. It offers an alternative way to enjoy the exhilarating and exotic beauty of the nature culture, and the people of Nepal.  ",Rcdpnepal
"   Youth Association for Culture and Development ,Is an international, non-governmental, non profit-making, non-political, non-sectarian youth association.  ",Youth Association for Culture and Development
   OUR MISSION: To promote economic and environmental sustainability while providing global educational opportunities and work experience.  ,Sustainable Bolivia
"   At the Surin Project, we are working with the local government to establish a world class elephant sanctuary, providing an alternative for street begging elephants.  ",Elephant Nature Foundation
"We are a non-profit organization based out of Washington DC, encouraging American citizens to volunteer within Muslim-majority countries.",America's Unofficial Ambassadors
"You will gain an in-depth, granular feeling for street-child and Sierra Leonian life in general - and the commitment of our team and the impact of our work. ",Street Child of Sierra Leone
A conservation assignment is the definitive life changing experience. We offer dedicated individuals the chance to make a real difference in South African wildlife conservation.,Research Cam
"Atma is an NGO based in Mumbai, India. We work to address the issue of quality education for underprivileged children and young adults through a unique consultancy model.",Atma
"Volunteer in Lublin and Chelm, East Poland and assist a community pre-school in a range of activities and support a day centre for adults with learning difficulties.",RAZEM
"   Pod Volunteer is an award winning non-profit organisation arranging ethical, inspiring and supported volunteering opportunities around the world.  ",POD Volunteer
Help Build an Orphanage in Nepal!,Kevin Rohan Memorial Eco Foundation
   Rustic Volunteer & Travel offers some of the most meaningful travel and volunteer abroad experiences.  ,Rustic Volunteer Travel
The Center for International Voluntary Services is the organisation that can provide you with the opportunity to reach out to community development initiatives and projects across Kenya.,Center for International Voluntary Service
   Our objective is to create high-end tourism lodges to enable communities to work their way out extreme poverty.  ,Bespoke Experience
"   International environmental and cultural network of people and little associations from Italy, Croatia, Bosnia-Herzegovina, Serbia open to all Countries in Adriatic area and South-East Europe  ",AdriaticGreeNet
"   Broad choice of volunteering projects and internships in different areas, as well as Portuguese course and accommodation on the Beach Lodge on the northeast coast of Brazil in Maceió.   ",GoBrazil
HIV/Aids Orphans Charity Foundation,HIV Charity Foundation
Agapao International works globally to empower communities by working with them and not for them; enabling sustainable change.,Agapao International
   Internship and volunteer opportunities working with wild American black bears.  ,The Vince Shute Wildlife Sanctuary
"TRACC is the Tropical Research and Conservation Centre, a coral reef conservation organization which runs research projects and diving volunteer programmes which make a difference.",Tropical Research and Conservation Centre (TRACC)
"As a group of friends living and surfing in Valparaiso, Chile (often called Valpo by locals), the founders of the Valpo Surf Project wanted to give back to the community they loved and make a positive social contribution to its citizens.  ",Valpo Surf Project
"We cover a range of important areas such us child and adult education, women empowerment, orphan care, environmental conservation, healthcare, housing construction, and community based tourism.",Awaiting Angels
"We are a grassroots organization with a belief system founded in the heart! Our message is simple - to help the less fortunate, especially children who are the most vulnerable.",Global Child Home Nepal
"   We offer travel and volunteer opportunities, cultural exchange programs, local workshops along with volunteering work for education, women empowerment and childcare. Programs are fully escorted, safe, affordable and also include 24/7 full in country support from airport to airport.  ",Moods of India
"The Dundori Orphans Project is the primary focus of the organization Education Supplements International, which is a Christ-centered humanitarian organization...",Dundori Orphans Project
"We are the Ingwe Leopard Project team, we would like to invite you to become involved and be part of the history of Leopard Conservation. Spread the word and raise awareness about Leopard Conservation in South Africa. ",INGWE Leopard Project
"Amigos del Mundo is a nonprofit organization, non-governmental organization with international goals. ",Amigos del Mundo
"Travel, Spanish, Homestay & Volunteerings ",Grupo GA.ME.
"   We are an educational 501(C)3 NGO located in a Ghanaian fishing village. We bring people from around the world to our cultural center for creative interaction.We believe that everyone is a teacher and a student and by working with Africans,visitors learn about a new culture and about themselves.  ",Cross Cultural Collaborative
Find internships in Indonesia...,Internship-Indonesia
The XL Academy is a christian gap year that has been running since September 2003 and we have seen students from all across the world,The XL Academy
"Volunteer WindAid was formed as part of the WindAid group. We provide volunteer projects in Peru for people taking a gap year, career break, retirement or time out from education, employment or training. ",Volunteer WindAid
Instruct soccer at Mama's school of football,Mama School of Football
"   Two of the biggest threats facing humanity today are climate change and global poverty. SolarAid helps to combat both, simply by bringing clean, renewable power to the poorest people in the world.  ",Solar Aid
React - Rapid Effective Assistance for Children with Potentially Terminal illness is a dynamic charity working to improve the quality of life for financially disadvantaged children with life-limiting illnesses living in the UK. ,React
" The Tata Medical Center is a state-of-the-art, not-for-profit comprehensive cancer care hospital with well-trained professional staff and equipped with modern facilities...",Tata Medical Center
PIVS is set in an African tradition way of life thus focusing on its vision to improve the people's way of life by working with them from grass root levels.,PIVS
"We offer over 250 volunteer, work and adventure tour programmes in 21 countries across the globe. ",Global Xperience
"   Established in 1963 Marine Sea Turtle is one of the oldest hatchries in Sri Lanka. During our time we have been responsible for protecting countless turtle nests, and we continue to educate and work with local fishing communities to conserve marine sea turtle populations.  ",Marine Sea Turtle Conservation Program
Teaching Internships in incredible INDIA,Sagreen International
GSL is a Spanish language school located in Granada Nicaragua and established since 2005,Granada Spanish Lingua (GSL)
Conservation VIP is dedicated to conservation and preservation of some of the world's greatest landscapes and cultural sites. ,Conservation Volunteers International Program
Volunteer abroad and make a difference: Volunteer work with Inspire is your opportunity to make a difference during your career break or gap year abroad.,I-Volunteer Abroad
"The Cats Unlimited Wildlife Foundation is dedicated to the conservation of wildlife and its habitat in the Khomas Hochland area, central Namibia.",Cats Unlimited
The mission of Catty Shack Ranch Wildlife Sanctuary is to provide a safe environment to many of the great cat species that are endangered or threatened due to loss of natural habitat.,Catty Shack Ranch Wildlife Sanctuary
"A Peruvian based vacation and social travel organization. We offer purpose based travelers affordable, unique, and life-changing adventures in Peru. We also have a NYC office.",GTE Volunteers Peru
"The Great Orangutan Project is a collection of volunteer programmes that focus on social, environmental and economic aspects of orangutan conservation...",The Great Orangutan Project
"   The CREES Foundation is a not-for-profit charitable organization working to bring economic, social and environmental harmony to the Manu region, in the south east Amazon rainforest of Peru.  ",CREES Foundation
   Into Peru is a travel company which provides travellers with safe and responsible volunteer programs abroad as well as high standard Spanish tuition and top quality travel experiences.  ,Into Peru
Corps Nepal is a Christian faith based humanitarian organization. Established to demonstrate Jesus lifestyle in a simple formula,Corps Nepal
"Christina House is situated in Arusha, just 7km from the city centre. The place is quite and pleasant suitable for resting.  ",Christina House
"Throughout the years, the LASSie clinic & shelter have seen numbers of passionate volunteer vets and volunteer helpers coming to Langkawi... ",LASSie clinic & shelter
The Chesapeake and Ohio Canal National Historical Park has many opportunities for our visitors who are interested in volunteering for the park.,The Chesapeake and Ohio Canal National Historical Park
"We invite enthusiastic volunteers to join us on our community programmes with GMH in Taroudannt, Southern Morocco, situated in the foothills of the mighty Atlas Mountains.",Moroccan Childrens Trust
"   SPCA is one of Asia’s leading animal welfare organisations with six income generating private veterinary clinics and two mobile vehicles, making us one of Hong Kong's leading veterinary establishments.  ",Society for the Prevention of Cruelty to Animals (SPCA)
ACDI/VOCA offers a wide range of rewarding opportunities for talented professionals.,Acdivoca - Expanding Opportunities Worldwide
Network for Peace,Network for Peace
"   Non Profit Organisation (NPO) Boa Vista O Mundo Foundation, in the island of Boa Vista, Cape Verde  ",Boa Vista O Mundo Foundation VZW
Medical Student Electives offers unique opportunities to experience an integrated health program in a poor rural community. ,Medical Student Electives
"The Lotus Children’s Home is a place for children in need.  Located in Kathmandu, Nepal, we create a caring environment for our children through the generous support of both local and international volunteers. ",The Lotus Childrens Home
   Go Make a Difference is an international volunteer organization and JET Programme Special Interest Group run 100% by volunteers based mostly in Japan.  ,Go M.A.D.
"Hoops Care International provide opportunities for youth to develop leadership skills, healthy lifestyle, work ethic, commitment, honesty and integrity through sports.",Hoops Care International
"The Aga Khan Development Network (AKDN) is a group of development agencies with mandates that include the environment, health, education, architecture, culture, microfinance...",Aga Khan Development Network (AKDN)
"Registered charity of volunteer members working with local communities in Tanzania to initiate and deliver development projects that promote education, environmental conservation, health & sustainable agriculture",Africa Rural Sustainable Development Association (ARSDA)
InSpire at St Peter’s and 2InSpire – two dedicated community spaces in Walworth to help you unlock your potential,InSpire at St Peter’s and 2InSpire
"A development organization working with volunteers. Rather than sending temporary relief in the form of food or money, CIVS sends people to share their skills and experience with local communities.",CIVS Kenya
We are a UK based charity offering volunteering opportunities in Romania supporting disadvantaged young people in Romania. ,STEPS Romania
"   Welcome to the Volunteer Petén home page. Here you can find all the information necessary to plan your stay in the jungle of Guatemala, Central America as a volunteer, Spanish student, or adventurer.  ",Volunteer Peten
Travel and volunteering Thailand,Trangsea
Winant Clayton Volunteers is a charity which facilitates an annual exchange programme for British and American volunteers to support disadvantaged groups in London and New York.,Winant Clayton Volunteers
"On African Soil is a South African home-grown company facilitating the International travelling volunteer with classic adventure, unique discovery and hands-on learning in our culturally, environmentally and topographically diverse Southern African country.",On African Soil
"For the last three decades, American Hiking Society has been at the forefront protecting the nation’s trails and the hiking experience.",American Hiking Society (AHS)
"   What a project like the Yanapay village needs is exactly what can't be bought: love, that love that emanates naturally from every living being on this planet.   ",Yanapay
"Our Gap Year and Independent Travel Safety & Awareness Workshop will prepare you to travel safely, with an awareness of cultural sensitivities and help you to make the most of all your travel experiences.",Safe Gap Year (Beyond The Blue ltd.)
"Since 1999, Cherry Hills Community Church Discover the World teams have traveled to southern Sudan to encourage, support and deliver humanitarian aid to the people of Sudan.",Eleos Project Sudan
"A non profitable private school looking for female volunteers to teach English, Art & Music to children between 7 and 14 year olds in Trichy , South of India.",Brindavan International School
Is a volunteer agency that looks forward to match the perfect volunteer with the perfect organization. Creating a win win situation.,Reach Bolivia
"   We search an enganged and motivated Volunteer, who is interested in cultural exchange and supporting a local NGO in most of the cases. It would be great, if you have any trained background.  ",Volunteer Action for Cambodia by Star Kampuchea
A Volunteer Organization who welcomes all National and International individuals and students to participate in different welfare activities for the under privilege women and children in India.,CRAWL (Children Resolution and Women Learning) Society
"Impact Community is a community based organisation registered in Kenya. We organise placement for students medics, nurses, dentist and physiotherapist to gain exprience working in Kenya.",Impact Community
At Birmingham & Solihull Womens Aid we aim to provide services that are sensitive to and meet the needs of individual women and children.  ,Birmingham & Solihull Womens Aid
Come to Latin America and Spain and enjoy the opportunity of living a truly intercultural experience with us.,COINED International
"Karibu to the Peace Matunda School and Orphanage website. Here you will find out how to live and volunteer in Tanzania, East Africa in one of the most beautiful regions the country has to offer.",Peace Matunda School and Orphanage
Inspire aims to offer opportunities for an excellent quality of life to people with learning disabilities in North East Scotland,Inspire
Digital media production and training producing content on the move to support African primate sanctuaries.,Great Primate Handshake
"The GREEN GECKO project is an initiative founded to benefit the lives of street children in Siem Reap, Cambodia.",The GREEN GECKO project (GGP)
"If you have always had a passion and desire to work around exotic animals. Tigers For Tomorrow is looking for reliable, hard working and dedicated individuals to join our organization.",Tigers For Tomorrow
"We offer a wide range of projects, medicine, physiotherapy and dentistry placements for those looking to gain that all important work experience as well as nursing and HIV projects for those who want to help.",Global Medical Projects
"   We are a local organization based in Cambodia. We provide a difference type of placements include: Teaching English, Care giving NGO support, Hospital work, Communities work.  ",Asia Volunteer Network
The TRTA offers many hiking and educational programs for all ages and abilities.,Tahoe Rim Trail Association (TRTA)
Future Nepal is a non profit and non government volunteering organization.,Future Nepal
"At ""United Friends of India"" we are enthusiastic about helping people in India and improving their situation. But we cannot achieve this alone.",United Friends of India
"LUNA facilitates placements of Medical trainees, Scientists, Professional, Volunteers, Researchers. It provides accommodation, meals and other basic requirements.",LUNA Placements
Live the natural adventures!!! Join us for an adventure of a lifetime! We are prepared to guide you on magical journeys in a real wild natural habitat.,Cloud Forest Ecuador
"Bushmasters was formed to give a more exciting, extreme, and remote experience. ",Bush Masters
Global Environment Centre is an internationally recognized Malaysian non profit organisation working throughout Asia Pacific Region and globally,Global Environment Centre
"Volunteers, Mentors for NGOs and Nonprofits Needed",Karmayog
   Huvadhoo Aid is a Non Governmental Non Profit Organisation working for the rural development of Huvadhoo Atoll.  ,Huvadhoo Aid (HAD)
C3 is a young and dynamic organization demonstrating how credible and rigorous scientific research can be combined with traditional ecological knowledge to inform effective conservation management actions from grassroots to regional and international levels.        ,Community Centred Conservation (C3)
"The Boona-Baana Center for Children’s Rights is a small, grass-roots organization located in Dar es Salaam. Our aim is to create a series of local, sustainable projects which will assist vulnerable children",Boona Baana
   Experience the best of Fiji's Diving combined with Fijian culture and the opportunity to become an intern on a PADI Dive Master program.  ,Diving Fiji
"   The bilingual international school of CIPEC, established since 1984, in Aix-en-Provence, is offering an innovative summer camp at the'Domaine Sainte Victoire' golf club, in the south of France.  ",The bilingual international school of CIPEC
"   Why do you travel? To see new places, explore new cultures, try new things. What if we told you your trips could do more than that. Experientia is all about experiential travel. Its about environmental conservation, social work, soul-searching and exploring new cultures on the go. Give your trip a purpose. Welcome to Experientia!  ",Experientia
"Wild Mob is a not-for-profit, non-political organisation providing volunteers the opportunity to work on meaningful environmental projects in remote and iconic Australian destinations.",Wild Mob
"ISAC is a social organization based in Mumbai, India that specializes in providing internship and volunteering opportunities to foreign nationals who wish to contribute their time in India.",India Study Abroad Center (ISAC)
"   Sprout is a non-profit organization based out of NYC that facilitates vacations for adults with disabilities. We are seeking enthusiastic, caring, fun-loving and responsible volunteers. No previous experience necessary. Responsibilities include: safety monitoring, providing physical and emotional support, activity planning, budgeting and enhancing fun.  ",Sprout
Meaningful Volunteer is a 100% non-profit volunteer placement organization dedicated to empowering volunteers to make a meaningful impact in developing countries. ,Meaningful Volunteer
Volunteer Canoe & Kayak near Frankfurt / Germany. You get canoes and kayaks for hire from us - this is what we do!,Kanu Lahn-Dill
"Internships, Volunteer, Work & Travel Programs Study India programs for International Enthusiasts. All these programs are conducted in the metro cities and also the interiors of India.",Edutrotters
"Mercy & Grace is a non-profit charity , working for the suffering humanity by sharing love, give and care for the poor and needy.","Mercy & Grace Orphanage, India"
"Knowledge Must is a leading intercultural solutions provider that assists students, professionals and organisations to successfully cross cultural boundaries, mainly between East Asia, South Asia, and the Western world.",Knowledge Must
"SAVETZ is an international volunteer work in Africa which is emerged as grass root organization located in Arusha, Tanzania, owned by SAVETZ HOUSE.",Solutions For Africa Volunteer Experience - SAVETZ
Mkulu Kei Horse Trails a working horse riding gap holiday opportunity on the Wild Coast in South Africa,Horse trails Mkulu Kei
Jubilee Partners is a Christian Service Community in rural northeast Georgia. ,Jubilee Partners
"Warm Heart is a grassroots organization that empowers rural Thai villagers. We organize community-initiated projects that provide access to improved education and basic health services, and create jobs and sustainable incomes for the poorest in our community. Warm Heart is not a charity.",Warm Heart Thailand
Working with children in underpriviledged communities in the city of Buenos Aires.,L.I.F.E. Argentina
The school is dedicated to teaching the Spanish language to foreigners. As a beginner you can obtain a solid basic level of Spanish in two weeks.,The San Blas Spanish School
We manage our own nature reserves in Sussex and South Africa. Komsberg Wilderness Nature Reserve in South Africa is huge with fantastic wildlife.,The Wildlife For All Trust
Volunteer Honduras is a social business dedicated to improving the quality of life for Hondurans through a combination of volunteering and tourism.,Volunteer Honduras
   2 month TEFL Certification Course with Proyecto Montezuma + Teaching Practicum. This course is held in both Montezuma and Santa Teresa locations and includes a 4-week long teaching practicum.   ,Proyecto Montezuma
"We at Unread Mothers are a cooperative of charities, schools and NGOs working together to provide international volunteers to our member projects and programmes of similar character.",Unread Mothers
"   The Maasai Children Education is a community-based non-profit organization and NGO based in Arusha Tanzania, The organization’s humanitarian and relief work is aimed at building schools, water systems and providing academic scholarship to disadvantaged children.  ",Maasai Children Education Organization
"Pour mieux atteindre sa mission, la Pierre-Paul Christian Initiative (PCI) active son programme de volontariat sur tout le territoire national. ",Pierre-Paul Christian Initiative (PCI)
Dare 2 Share is a church assisting ministry that provides resources for youth leaders and equips teens to relationally and relentlessly reach their generation for Christ. ,Dare 2 Share
"Pamoja International Voluntary Services (PIVS) is a non-profit, Non Governmental Organization (N.G.O.) without any political or religious or sectarian affiliation.",Pamoja International Voluntary Services (PIVS)
"As recently as 1975, over 200,000 lions may have roamed the African continent. In 2002 estimates put the population between 23,000 and 39,000, representing an 80 – 90% decline in less than 30 years.",The African Lion & Environmental Research Trust (ALERT)
Riverside Wildlife Rehabilitation Centre (RWRC) near Letsitele in the Limpopo Province of South Africa was established to accommodate and provide temporary sanctuary for wildlife,Riverside Wildlife Rehabilitation Centre (RWRC)
   Nyali Music School & Centre has volunteer opportunities for international music students. The volunteers will have the opportunities to participate in the outreach programs and research programs in Ethnomusicology.  ,Nyali Music School &amp; Centre
Global-cultural Solution (GCS) is a non-profit volunteer organization which operates mostly in Ghana by providing different developmental projects to rural communities.,Global-cultural Solution (GCS)
The Mona Foundation's mission is to end the exploitation of primates in captivity. The foundation has established a sanctuary near Girona in Spain,The Mona Foundation
"   Kibera Vision Achievers Group is a  registered group, KVA was formed on 6thApril, 2013 and registered as a Youth Group on the 29th December, 2013 based in Kibera (Nyayo Highrise Ward).  ",Kibera Vision Achievers Group
A South African-based non-profit Trust with a growing reputation for implementing innovative and dynamic programmes that conserve South Africa’s magnificent natural resources and heritage.,The African Conservation Trust (ACT)
Our programmes offer students the chance to gain experience and develop valuble skills while getting involved with and helping the local community.,Medical Electives
"The Mission of the Manuel Zapata Olivella Center is two-fold: (1.) to provide educational opportunity, life skills, work-related capacity building, and leadership development to that part of the immigrant community in the Washington, DC",Manuel Zapata Olivella Center
"We support orphans, & Widows/wodowers with their needs. We donate Animal milk for poor families/and small scale project.",Malengo ya Kusadia Jamii
   AVI – Adventures and Volunteering in India is a small but ideal travel and volunteer organization.         ,AVI - Adventures and Volunteering in India
LVS is 50 year  old organization primarily focusing on Education. Ts first school for less privileged will celebrate its 50th anniversary in 2012.,Lakshmi Vidya Sangham (LVS)
Volunteer Capital Centre (VCC) provides quality and low-cost volunteer abroad work programs and opportunities in third world countries. ,Volunteer Capital Centre (VCC)
"MEAC is a proud Maasai run organisation, aiming to improve the lives of people in Maasailand, Kenya.",MEAC Kenya
Live in a small community and use your skills to improve the lives of others ,Belo Rural Development Project (Berudep)
"Social and Humanitarian programs make a difference in the lives of Ecuadorian children, people with physical disabilities, families with low incomes and others. ",Discover Ecuador
"Welcome to a very special place - a place no visitor will ever forget, and most will remember as the highlight of their trip to Zimbabwe.  ","Antelope Park, Zimbabwe"
"Sequoia Riverlands Trust (SRT) is a regional, Central California, non-profit land trust dedicated to conserving the natural and agricultural legacy of the southern Sierra Nevada and San Joaquin Valley.  ",Sequoia Riverlands Trust (SRT)
Come on an adventure with us and explore our human relationship to the global ecosystem.,IZILWANE
We're looking for Volunteers to help build a Childrens'Permaculture Garden in the highlands of Malaysia,"Moonriver Lodge, Sigar Highlands"
   B.E.I.T company was established in 2009 and focuses on cultural exchange programs.  ,Bridge for Education &amp; International Travel
"Nectar Home Orphanage, a home for children like us who are made orphans through the deadly disease HIV/AIDS and other vulnerable circumstances.",Nectar Home Orphanage
The Otesha Project is a youth led charitable organization that mobilizes and equips Canadians to create local and global change through individual and collective choices.,The Otesha Project Canada
   Future Nepal is a non-governmental and non-profitable volunteering organization.  ,Nepal Future Travel and Volunteering
"To use the arts and intercultural learning in order to inspire a culture of peace and hope and educate for non-violent alternatives to create a sustainable, equitable, and harmonious earth society.","Peace Education through the Arts, Culture, and Exposure (PEACE)"
Dream A Dream is registered Charitable trust which seeks to empower children from vulnerable background by developing life skills and at the same time sensitizing to community through active volunteering leading to non-discriminatory society where unique differences are appreciated.,Dream A Dream
Have you always dreamed of being out in the bush? Join us at Picture Africa wildlife conservation on our amazing journey through Africa.,Picture Africa Wildlife Conservation
"Gear up for a two-wheeled revolution – join a 2011 Otesha UK cycle tour! We are a youth-led organisation that helps young people to become agents of change, inspiring others to take small actions which add up to big change towards a cleaner, greener and fairer world.  ",Otesha UK
"ICVolunteers provides motivated individuals with unique short- and long-term opportunities to volunteer in local, national and international settings.",ICVolunteers
Medicare Nepal is a non-profit organization registered with government of Nepal with the main objective of bringing low cost quality medical relief services to people in rural villages of Nepal...,Medicare Nepal Volunteering 
Schools for India has been started with the aim of building and running schools with the best -in-class infrastructure for the rural poor in India.,Schools for India
"   Works to address rural poverty, women’s empowerment, child welfare, climate change, and human rights to education, health, and safety.  ","ORGANISATION OF DEVELOPMENT, ACTION AND MAINTENANCE (ODAM)"
Marine conservation through education and action.,Wildseas
"We are looking for some coaches to volunteerily coach the young pupils and students in Hanoi, Vietnam how to play proper football. ",VNAFA Trading and Sport Company Limited
"CLO's mission is to make a meaningful difference in the lives of children and adults with special needs. CLO 's goal is to help persons with developmental disabilities achieve personally satisfying, fulfilling lifestyles in the community.",Community Living Opportunities - CLO
"Wild Wild Coast is an environmental initiative based on the Wild Coast, South Africa. We facilitate community focused projects which holistically address environmental issues in the rural Eastern Cape.",Wild Wild Coast
The Better World Foundation was established to help the Egyptian youth advance in the critical areas of academia and technology. ,The Better World Foundation
"The Miami Dolphins Special Teams is a unique volunteer organization created to enlist and mobilize the ongoing services of the community with Miami Dolphins staff, players and alumni.",The Miami Dolphins Special Teams
"Aims to promote the conservation and wellbeing of sharks, sea turtles and all marine life through education and action.",Wildseas Volunteer
"Canada’s High School, Summer Camp and Volunteer Specialist. Our ESL Summer Camps for international teens provide both Residential and Homestay options in small and safe communities just outside Toronto and Vancouver.",Canada: Red Leaf Student Programs
Gap Year West Africa specialises in provision of gap year places for UK students.,Gap Year West Africa
Have you ever wished to travel to Africa and make a difference in the lives of people living in dire need and poverty? ,Kiboko House Volunteers
Set Them Free International is a Christian Humanitarian and Advocacy Organization based in England,Set Them Free International
Elephant Human Relations Aid enables volunteers to Africa to contribute to elephant conservation and our volunteer project aims to reduce conflict between elephants and humans.,Elephant Human Relations Aid
Conservation Connect is the result of Conservation Volunteers Australia and Toyota Australia working in partnership with the aim of connecting more volunteers to environmental projects across Australia.,Conservation Volunteers 
WildVenture combines off the beaten track exploration with potentially world changing research and community support. ,WildVenture
Conservation and community projects in Southern Africa and across the globe.,Experience Worldwide
