contact_number,description,email,cause_area,name,website,address
91 22 2544 1824        ,"Reach Education Action Programme (REAP) was born out of a need to combat illiteracy and ensure every child is in school.REAP launched a full scale campaign for eradication of illiteracy 17 years ago  through a non-formal education programme which literally takes literacy to the doorstep of the poor.Through a dynamic vision, grassroots commitment, aggressive innovative approach, REAP set on a task of social transformation through 4 E's -- Education, Entitlement (human rights), Employment and Empowerment (of women).Over these last twelve years REAP has literally grown into a 'literacy movement' covering more than 10,000 learners each year through a network of 350 literacy centers. These include rag pickers, child laborers, slum and tribal children.A hostel for tribal girls in Dolkhamb, Sahapur Tal. is aimed at encouraging tribal girls to complete high school.Six months boarding in Khardi to prevent poor Katkari tribal children from migrating and losing out on school.REAP also networks with the govt school system in rural areas to enhance quality education.REAP's Teacher Training centers ensure quality education through training of new teachers, in-servicetraining, research and development.Women's Empowerment is an integral part of the literacy movement. Beginning with adult literacy, awareness programmes, human rights, income generation and currently 200 Self-Help Groups, women are trained to be agents of social change in their community.REAP is a story of growth and dynamism; of commitment and search for answers for solving tomorrows problems today. Its strength is its ability to take risks for the poor, its wide outreach, its great team work and its desire to give the 'best to the least'.REAP was awarded the international 2005 Opus Prize for outstanding humanitarian work on 7th November, 2005, at Marquette University, United States.   ",reap@reapchild.org  ,"Education, Women and Girls",Reach Education Action Programme (REAP),http://www.reapchild.org,"502 Bali Towers Station Road, Kalwa (West),, District - Thane, 400 605 INDIA"
+6281-286-615037        ,"Red Nose Foundation's mission is to support the educational and personal development of children living in underprivileged circumstances and to promote the empowerment of youth through arts while assisting them to become positivecontributors to society.Red Nose Foundation strives to be a pioneering creative force behind education advocacy and rehabilitation.Red Nose offers a safe place for children to explore, experiment and get educated.    ",matt@rednosefoundation.org  ,"Child and Youth Development, Education, Arts and Culture",Red Nose Foundation,http://rednosefoundation.org/,"The CEO Building, 12th Floor, Jl. TB Simatupang No.18C, Jakarta, 12430 INDONESIA"
+41316320827+41316324770       ,"1. We support the setup of echocardiographic screening programs for the early detection of clinically silent rheumatic heart disease in endemic regions, and commit to the implementation of timely implementation of secondary prevention. Specifically, we conduct an echocardiographic screening and secondary prevention program for rheumatic heart disease in Eastern Nepal in collaboration with the B.P. Koirala Institute of Health Sciences in Dharan. 2. We compensate for medical treatment of children and adolescents with valvular heart failure secondary to rheumatic heart disease.3. We compensate for medical treatment of children diagnosed with collateral findings during echocardiographic screening for rheumatic heart disease (i.e. ASD, PDA).4. We promote awareness for rheumatic heart disease among major stakeholders in endemic countries.5. The program builds on a strong north-south collaboration, and promotes local capacity strengthening. Specifically we train local doctors to perform echocardiographic screening, and make a point in providing medical care in the local context.   ",thomas.pilgrim@insel.ch  ,"Medicine, Diseases and Disorders",RHeaDY,http://www.rheady.org,"Archivstrasse 1, Bern, 3005 SWITZERLAND"
91-80-2657538991-80-22441673       ,"The primary purpose of the organization is ""rehabilitation of persons with psychiatric disability"" and training of professionals (PG degree level) in psychosocial rehabilitation, awareness and advocacy and research.   ",rfsnational@gmail.com  ,"Community Improvement, Medicine, Diseases and Disorders, Disability",Richmond Fellowship Society (India),http://www.rfsindia.org,"""Ushakirana"", 406-A/10,7th Main II Block Jayanagar, Bangalore, 560 011 INDIA"
+9199861887666        ,"Our mission is to save the lives of the underprivileged by raising funds for life-saving medical treatment through a platform which unites patients with donors, hospitals, organizations, and corporations.    Our vision is a society in which everyone will be able to enjoy their ""Right to Live,"" even if they don't have the funds for medical treatment. Right To Live, a project of Kote Foundation is a collaborative social ecosystem connecting patients, financial donors, hospitals, doctors, volunteers, corporates, charitable institutions and government, with the common vision of helping the less privileged to avail financial assistance for critical healthcare treatments.  We believe everyone deserves a healthy and happy life; yet, a vast number of people are deprived of their Right to Live because of rising healthcare costs. Majority of the people are suffering due to lack of adequate structured platforms to connect the underprivileged patients with desired support systems, and we hope to bridge the gap. Right to Live uses the concept of “Crowd Donation ” to help raise money using traditional media, street campaigns, the power of Internet, and social media.  We are proud that 100% of the donations received by us goes towards the treatment of patients. Our administrative costs are covered by trustees and our corporate sponsor Opteamix. Our accounting practices are transparent and are published online for the perusal of our stakeholders. We are a registered trust in India with 80G tax exemption, and a FCRA, CAF, CAF America, IICA approved organization.  During the last 4 years of our journey we have helped over 100 patients with medical conditions including Kidney, Heart, Cancer and other Disability Connect with Us: Facebook: https://www.facebook.com/Righttolive.org/Twitter: https://twitter.com/righttolive_orgYouTube: https://www.youtube.com/user/righttoliveorg    ",ashik@righttolive.org  ,"Medicine, Diseases and Disorders, Disability",Right To Live - A Kote Foundation Initiative,http://www.righttolive.org,"15, Bhuvi, 2nd Cross Isro Layout, Bangalore, 560078 INDIA"
91 11 2678907291 11 26137478       ,"The purpose of Ritinjali is to create a a purely Public Charitable Trust which works for the benefit of the downtrodden, irrespective of caste, creed, and religion. The organization also works to enable and facilitate the performance of things which are charitable, social, cultural, and educational in nature while also focusing on the development of rural areas inclusive of the management and administration of the affairs of the Trust.   ",dilreen@gmail.com  ,"Education, Community Improvement",Ritinjali,http://www.ritinjali.org,"726, K-2 Block Gali No: 6D, Mahipalpur, New Delhi, 110037 INDIA"
022-24965009        ,"Room to Read seeks to transform the lives of millions of children in developing countries by focusing on literacy and gender equality in education. Working in collaboration with local communities, partner organizations and governments, we develop literacy skills and a habit of reading among primary school children, and support girls to complete secondary school with the relevant life skills to succeed in school and beyond.     ",nandita.mishra@roomtoread.org  ,"Child and Youth Development, Education",Room to Read India Trust,http://www.roomtoread.org,"Room to Read India Trust, D21 Corporate Park, Office No 201, E (B), 2nd floor, Sector 21, Dwarka,, New Delhi, 110075 INDIA"
91-22-2307-626591-22-2308-2279       ,    , bbymidtown@vsnl.net ,Community Improvement,Rotary Club of Bombay Mid-Town,http://www.bombaymidtown.com,"Navjivan Co-Op Housing Society Limited, Bldg No. 3 Room No. 10 (R), 10th Floor; Lamington Road, Mumbai, 400 008 INDIA"
+91 44 28275760+91 44 28275760       ,"Even after 65 years of independence, Millions of Indian children have never, ever been to school. Illiteracy is a self-fulfilling curse that perpetuates the chain of poverty, degradation and child labor. To reach out to this group of underprivileged children, since the year 1996, RTI across the country started adopting projects aimed at providing quality school infrastructure, and then in 1998 this project was formalized and thus born the National Project of Round Table India ""Freedom Through Education"" -- In pursuit of educating underprivileged childrenRound Table India's focus on Infrastructure-Building is aimed at promoting Education for Posterity and hence RTI has put in colossal efforts to build FTE School Blocks across the nation.   ",alok@vistaspaces.in  ,"Child and Youth Development, Education",Round Table India Trust,http://www.roundtableindia.org/,"80, Nungambakkam High Road, Nungambakkam, Chennai, 600034 INDIA"
91 11 25593160/61/6591 11 25593162       ,    ," saahasee@vsnl.com, delhi@saahasee.org ",Community Improvement,Saahasee,http://www.saahasee.org,"A-2/125 Janakpuri, New Delhi, 110058 INDIA"
+91 33 2495 3046        ,"Sabera Foundation's mission is to provide meaningful equal opportunities through shelter, education and health care for the social and economic development of the poorest of the poor so that they gain dignity and respect in life, and provide opportunities for vulnerable children, particularly those who are destitute or physically challenged from poor and marginalized families for their round growth and development through education, counselling, vocation, therapy, medical and rehabilitation support.   ",subhasish@sabera-foundation.org  ,"Child and Youth Development, Community Improvement, Housing and Shelter, Education",Sabera Foundation,http://www.sabera-foundation.org,"Dey's Estate, Vill-Gazipur P.O. Kanganberia, P.S. Bishnupur 24 Parganas. (South), Kolkata, 743503 INDIA"
6132543538        ,"Sadaat Aid Foundation's mission is to provide sustainable support focused towards the following: educational development, self-employment, and social welfare.   ",directors@sadaataid.com  ,"Education, Economic Empowerment",Sadaat Aid Foundation,http://www.sadaataid.com,"308 Goldridge Dr., Kanata, K2T1L1 CANADA"
91 11 29222418/2921914791 1129216540       ,    ,saharahouse@vsnl.com  ,"Medicine, Diseases and Disorders",Sahara Centre for Residential Care and Rehabilitation,http://www.saharahouse.org,"E-453, Greater Kailash, New Delhi, 110048 INDIA"
0120-2536416        ,"To provide an existence with dignity to the underprivileged children and to make them self sustainable when they grow up. These purposes are achieved through the projects being run by Saikripa. Our Vision: to make the underprivileged children self sustained when they grow up.Saikripa was started with the aim to nurture the underprivileged children holistically that makes them responsible, ambitious, successful individuals and future ready. Sai Kripa believes that in its own way, it can lead a bit of the change it wishes to see in the underprivileged children. Our heartfelt thanks to all our stake holders, supporters including the local public without whom we cannot nurture the young minds with commitment to excellence. For 25 years, through Happy days, changing days, Sai Kripa has been unwavering in its commitment to its cause, SaiKripa renews her pledge of allegiance to its donors, supporters and partners in carrying out its cause. Saikripa hosts the following programs: Balkutir - An orphanage that inspires children to lead a fulfilling life. Created in 1990 with just one child, Balkutir has grown to become a full family with 47 children of all ages.It provides shelter, food, education and healthcare. While those are necessities, Balkutir also provides something that is far more critical: improvement of a child's self-esteem and outlook towards life.Sai Shiksha Sansthan - Created in 1991, Sal Shiksha Sansthan is a progressive English medium school. It has grown from being a primary school of 80 children into a co-educational secondary school of 370 children.Sai Bal Sansar -Since 1999, children have been provided informal education, free of cost, with the inclusion of a midday meal. Sai Bal Sansar is located in the village of Agahpur, Sector-41 Noida. With the belief that all children are unique, talented and capable of excelling, every teacher is taught to nurture each child's talent so that they may excel.Sai Vatsalya Vatika - Created in 2009, Sai Vatsalya Vatika is a specialized learning environment catered to fit the needs of children with physical and learning disabilities. The support of the donors has been truly invaluable to Sai Kripa while expressing gratitude Sai Kripa would like to put on record that their continued patronage is a vital part of Sai Kripa’s growth and for that Sai Kripa is most obliged. Saikripa has ambitious ideas to  modernize Sai Shiksha Sansthan with a few ICT (Information and Communication Technology) based virtual class rooms and to make the projects “Sai Vatsalya Vatika” and Sai Vocational Training Centre more active and intense but our major problem is acquiring our own land without which these projects cannot be managed properly. We find garnering funds required for the purchase of land is the biggest problem as the size of funds required is huge. The task ahead appears to be very strenuous and it needs immediate and urgent kind attention of all donors/well-wisher/CSR wings of corporate to help us in this task.",saikripa1989@gmail.com  ,Child and Youth Development,Saikripa,http://www.saikripa.org,"Z-133 & 134, Sector-12, Noida, 201 301 INDIA"
011 2358 9305011 2358 4164       ,"SBT aims to provide a sensitive and caring environment to street & working children and other children on the margins of society. It seeks to dissolve the barriers that rob children of the opportunity to realize their rights.The Objectives of Salaam Baalak Trust are as follows:Provisions of Shelter facilities for the children to enable them to enjoy their childhood and have a safe/secure place to mature into responsible adults.Restoration of children to their families through repatriationProvision of education (at least basic literacy) through formal and non-formal system of educationProvision of vocational training to children based on their interests to enable them to develop entrepreneurial capabilitiesJob placements of older children so that they stand on their feetProvision of medical facilities, both preventive and curative, to enable such children to attain normal levels of physical and mental growthSensitize key stakeholders in society to respect the rights and lives of these childrenIn 1988, Mira Nair's film Salaam Bombay rendered a raw depiction of the vulnerabilities of living on the streets….. It struck a chord in the hearts of compassionate citizens, who identified the mine of potential in India's street children. This small group lost no time to create a space in the form of a Trust where young street boys and girls could feel secure and could breathe hope. Keeping in tandem with the nature of the children, the name 'Salaam Baalak Trust' which literally translates into salute the child seemed befitting. For the past 25 years, Delhi-based Salaam Baalak Trust (SBT) has been dedicated to the care and protection of street children, regardless of caste, color, creed or religion by living or working in and around railway station, at crowded bus stops, slums, congested business and tourist areas. From 3 staff and 25 children on a balcony of Ground Reserve Police at the New Delhi Railway station, SBT has now grown to over 150 staff, providing support services in Delhi & NCR region. SBT currently functions through 17 Contact Points/ Day Care Centers and 5 Shelter Homes, which provide a holistic child development package. SBT also manages 1098- emergency Child helpline is a toll free number to reach out to children in distress at any point of time. This 25 year young organization has already provided support to more than 50,000 children from all over the country and abroad. On an average, SBT's team reaches and protects over 5,000 children annually. While a large chunk of children are re-united successfully with their families, SBT becomes family for young lives who have no one to return to. Though a family can never be replaced, a child friendly environment, access to basic child rights, and mentorship of staff at SBT provides an unique support system for the children. As a result, children from SBT are empowered young citizens with their heart in the right place. Children who have flown from the SBT nest have gone on to establish meaningful lives for themselves. Majority is married, and can afford to send their children to good schools. Professionally, they have carved a niche for themselves, be it the performing arts such as puppeteers, dance and theatre or the creative genre such as film making and photography or the corporate world where they are absorbed into companies such as Matrix, Pizza Hut, JLL, Teamwork Productions, DS Constructions (Toll Plaza), Delhi Metro Rail Corporation, VLCC, and Devyani Hospitality Group ",tanyaalag@gmail.com  ,Child and Youth Development,Salaam Baalak Trust,http://www.salaambaalaktrust.org,"2nd Floor, D.D.A. Community Centre Chandiwali Gali Paharganj, New Dehli, 110055 INDIA"
6555 01886458 8958       ,    ,Angela_Chew@SMM.salvationarmy.org  ,Aid and Development,Salvation Army - Singapore,http://www.salvationarmy.org/singapore,"20 Bishan Street 22,  , 579768 SINGAPORE"
977-1-5532567        ,    , schnepal@enet.com.np ,Child and Youth Development,Salvation Children's Home Nepal,http://www.schnepal.org.np,"SCH - Nepal GPO Box No 2146, Kathmandu, NEPAL"
91 80 2658 257091 80 2658 2570       ,"Samarthanam Trust for the Disabled is a registered Trust working for the empowerment of persons with disabilities especially persons with visual and physical impairments and underprivileged people since 1997. The organization headed by Shri, G K Mahantesh, a visually impaired social entrepreneur. This organization's aim is to provide opportunity with persons with disabilities and underprivileged communities in India to keep pace with the rest of society by facilitating quality education, vocational training, placement and rehabilitation support, In this direction the organization extends all forms of support including accommodation, nutritious food and direct financial support where ever needed.   ",mahantesh@samarthanam.org  ,"Medicine, Diseases and Disorders",Samarthanam Trust for the Disabled,http://www.samarthanam.org,"CA: 39, 15th Cross, -4 16th Main, Sector, HSR Layout-560102, Bangalore Urban, 560102 INDIA"
"91 80 26606532, 533     91 80 26606528  ",    , pradeep@samuha.org ,Community Improvement,SAMUHA,http://www.samuha.org,"#12/3, 'Raghava Krupa' 6th Main, Bull Temple 'A' Cross Road Behind Uma Theatre, Chamarajpet, Bangalore, 560 018 INDIA"
98 11 81 49 47        ,"The primary purpose of Sankalp Welfare Society is to impart education to children coming from extremely marginalized sections of society. Sankalp Welfare Society also aims to provide nutrition, clothing, health check-ups, and medical facilities. Mid-day meals are provided daily to children to fulfill their nutritional needs. Sankalp believes in comprehensive development of children's personalities and emphasis is laid on training children in co-curricular activities such as dance, music, crafts, or sports.   ",sankalpsankalp@yahoo.com  ,"Child and Youth Development, Education",Sankalp Welfare Society,http://sankalpwelfaresociety.com,"C-250 Suchant lok - 1, Gurgaon, 122009 INDIA"
475-999-3105203-227-5667       ,"Save the Children invests in childhood- every day, in times of crisis and for our future. In the United States and around the world, we give children a healthy start, the opportunity to learn and protection from harm. By transforming children's lives now, we change the course of their future and ours.    ",lschiraldi@savechildren.org  ,"Child and Youth Development, Education, Healthy Lifestyles","Save the Children Federation, Inc.",http://www.savethechildren.org,"501 Kings Hwy Suite 400, Fairfield, CT 06825"
022 26240601022-2624-0604       ,"Save The Children India is committed to preventing exploitation and all other forms of discrimination against children who are vulnerable on account of their caste, class or creed. STCI is also committed to assisting children with special needs to realize their potential.   ",jyoti.nale@savethechildrenindia.org  ,"Child and Youth Development, Women and Girls",Save the Children India,http://www.savethechildrenindia.org,"SF 9 G-BlockBandra Kurla Complex (Next to American School of Bombay, Bandra East) Bandra Kurla Complex (Next to American School of Bombay, Bandra East), Mumbai, 400098 INDIA"
914342293343        ,"To cater to the needs of the disabled in the community and to empower children, women, and youth through education and economic empowerment.   ",stanypancras@gmail.com  ,"Child and Youth Development, Disability",Sebama Foundation,http://hhtps://www.facebook.com/sebamafoundation,"mercy home, sogathur cross road, Dharmapuri, 636809 INDIA"
66 (0) 2260 0229        ,"Sem Pringpuangkeo Foundation facilitates the provision of scholarships as well as supportive activities for the underprivileged orphans affected by HIV/AIDS in the northern provinces of Thailand, which helps reduce the economic and social gap as well as provide active visits to the children by the Foundation's staff to mentor the children's lives.   ",semcnx@cmnet.co.th  ,Education,Sem Pringpuangkeo Foundation,http://www.semfoundation.org,"219/28-31 Asoke Towers Office Building 9th Floor, Sukhumvit 21 Road Klongtoey Nua, Wattana, Bangkok, 10110 THAILAND"
+91 11 4300 7650+91-9604533919       ,"Network with other non-profits; strengthen and support them to plan, implement and evaluate projects in tribal regions, urban and rural slums, and other needy communitiesChannelize knowledge and skill resources, provide guidance and organize training programs to non-profits on sustainable social developmentPromote volunteering through various activities / projects in communities that are socially, economically and culturally deprivedProvide financial, technical and human resources, to organizations working in the field of social developmenthttps://www.facebook.com/pages/Sewa-International-Bharat/421185784669861 https://twitter.com/Sewa_Bharat   ",nishant@sewainternational.org  ,"Child and Youth Development, Community Improvement",Sewa International,http://sewainternational.org,"49, Deendayal Upadyaya Marg, New Delhi, 110 002 INDIA"
+6596626462        ,Our Mission Develop volunteers to help challenged personsOur Vision Develop volunteers that will build more and better volunteers until SG Serve becomes a sustainable movement for goodOur Values R – RelationshipI  – IntegrityC – CompassionE – Excellence   ,joyful@singnet.com.sg  ,Community Improvement,SG Serve Ltd,,"190 Lorong 6 Toa Payoh #02-514, Singapore, 310190 SINGAPORE"
         ,    ,   ,Economic Empowerment,Shakti Foundation for Disadvantaged Women,http://www.sfdw.org,"House #04, Road #27, Block-J Banani, Dhaka, 1213 BANGLADESH"
+91-9738015070        ,"Shanti Bhavan is a unique free residential school of excellence in a very backward village,  for children from extremely poor backgrounds. Every year we select 12 girls and 12 boys at age 4 for admission, and the total enrollment is 300. We follow the ICSE and ISC curriculum.   Shanti Bhavan serves as a home and non-sectarian boarding school that provides a holistic upbringing in a high quality educational setting for these children of deprived backgrounds. Given proper care, support, and educational opportunities, these children will be able to succeed in life and bring about social change to their communities. Shanti Bhavan is more than just a school; it is a completely unique approach for educating poor children. No other model of educational intervention commits the same level of long-term and quality investment in the lives of these children, or holds more promise for their futures and those of their families.   ",shantijsri@gmail.com  ,"Education, Other",Shanti Bhavan Educational Trust,http://www.shantibhavanonline.org,"502, 5th C Main, 5th Cross HRBR Layout, Kalyananagar, Bangalore, 560043 INDIA"
91-40-2715818491-40-27158225       ,    , udaia@sharemicrofin.com ,Aid and Development,SHARE,,"Shekinah 12-13-680 Nagariuna Nagar Tarnaka, Hyderabad, 500076 INDIA"
91-080-41131930        ,"The Teacher Foundation's mission is to provide training and professional development opportunities for educators with a view of improving the teaching and learning process, and enhancing the personal and professional effectiveness of the teachers and heads of schools.    ",mayamenon@teacherfoundation.org  ,Education,Shraddha Trust,http://www.teacherfoundation.org,"#37/10 Yellappa Chetty Layout Ulsoor Road, Bangalore, 560042 INDIA"
+91 9879205944        ,"EDUCATION, MEDICAL RELIEF AND RELIEF TO POOR   ",ycs29@yahoo.co.in  ,"Education, Medicine, Diseases and Disorders",Shri Hari Jagsukhkarak Charitable Trust,,"C/O YASHWANT CHANDULAL SONI 10 SWAMINARAYAN SUKHKAR NIRBHAY RESIDENCY AMBALI BOPAL, AHMEDABAD, 380058 INDIA"
9180 2318 0318        ,"Shristi Special Academy works with Persons with Disabilities (PWDs) like Autism, intellectual disability, Cerebral Palsy and multiple disabilities. We improve the quality of life and empower them to live fully and independently. Vision: Improve the overall quality of life of Persons With Disability (PWDs) to ensure full participation and acceptance in societyMission:Empower PWDs to access intervention and rehabilitation services to promote maximum independence and confidenceEnable families and communities to spread awareness and build capacity to aid acceptance and participation of PWDs  who require assistance and supportValues:Acceptance, respect and care irrespective of age and severity of Disability   ",shristiblr@gmail.com  ,"Economic Empowerment, Disability",Shristi Special Academy,http://www.shristispecialacademy.com,"Sy No.20, Jattipalya, Channenahalli 20th KM Off Magadi Road,, Bangalore, 562130 INDIA"
65627320106562732013       ,To bring relief and happiness to children in need   ,vdfoo@childrensociety.org.sg  ,"Child and Youth Development, Community Improvement",Singapore Children's Society,http://www.childrensociety.org.sg,"298 Tiong Bahru Road #09-05 Central Plaza, Singapore, 168730 SINGAPORE"
6354 9369 6258 5240 6354 9369    ,"The Singapore Heart Foundation (SHF) is a non-profit charitable organisation at the forefront of the battle against heart disease in Singapore. Since our inception in 1970, the Foundation has grown into a well-established and reputable organisation with local and international links. Our mission is to promote heart health, prevent and reduce disability & death due to cardiovascular diseases and stroke.SHF fulfils its mission through educational programmes highlighting preventive measures against heart disease to the public. We do so via two major annual awareness campaigns; National Heart Week/World Heart Day and Go Red For Women, to reach out to the community and spread the message of heart health. Activities include healthy cooking demonstrations, health screenings and physical activity performances. We focus on rehabilitative and preventive care for recovering heart patients and at-risk individuals. SHF is the only institution in Singapore that runs a structured community-based Heart Wellness Programme, including Phase 4 Cardiac Rehabilitation. Other services include health talks, nutrition consultations and smoking cessation counselling. In addition, SHF also offers a funding scheme for needy heart patients for three specific areas; Mechanical Heart Device, Emergency Relief Assistance (a monthly sum of money is given to patients who are unable to return to work immediately due to their heart condition or surgical procedure) and Heart Transplant. Our Heart Safe department aims to improve the out-of-hospital sudden cardiac arrest survival rate in Singapore (currently at a dismal 2.7%) by creating an environment for more effective use of CPR and Automated External Defibrillators (AED) in the community. We’ve broken two Guinness World records at our National Life Saving Day events in 2011 & 2012 for the “Largest number of people trained and certified in CPR at a single mass event” and the “Largest AED training session”. SHF strongly believes that educating and empowering the young, is critical in helping to prevent cardiovascular disease. Besides students, we also reach out to school communities which include teachers, staff and parents through the following programmes: Health Mapping Exercise (free basic health screening services to lower income residents living in one and two room rental flats), BP Initiative @ Schools (students are taught on how to monitor their blood pressure levels) and Jump Rope For Heart (a holistic heart health education programme that promotes an active lifestyle through rope skipping lessons and nutrition education).  ",charlotte@heart.org.sg  ,"Medicine, Diseases and Disorders, Healthy Lifestyles",Singapore Heart Foundation,http://www.myheart.org.sg,"9 Bishan Place, #07-01 Junction 8 (Office Tower), Singapore, 579837 SINGAPORE"
65 6828 010065 6828 0101       ,    ,florencetan@smu.edu.sg  ,Education,Singapore Management University,http://www.smu.edu.sg,"Administration Building 81 Victoria Street,  , 188065 SINGAPORE"
666405006336-0776   65-6336-0269   ,"The Singapore Red Cross is a home-grown humanitarian organization dedicated to relieve human suffering, protect lives and dignity and respond to emergencies since 1949. Our blood donor mobilization program, home for the disabled, transport aid, food aid, first aid and training derive from our mission to serve the vulnerable. Beyond our shores, we mobilize and translate contributions from Singaporeans to relief and recovery, rehabilitation and reconstruction efforts with the aim of helping communities devastated by disasters.   ",selene.ong@redcross.sg  ,Emergency Relief,Singapore Red Cross Society,http://www.redcross.sg,"Red Cross House 15 Penang Lane, Singapore, 238486 SINGAPORE"
65-6704 238465-6278 6193       ,"The objectives for the Company are established on all or any of the following: a)	the promotion, development and provision of health-related services to benefit the Singapore community as a whole;b)	to promote the advancement of healthcare in Singapore by supporting research, education, innovation to improve patient-care services, patient safety and quality care of patientsc)	to provide financial assistance to patients determined to be in financial need; and d)	to promote the furtherance of education and training for healthcare workers (such as clinical, medical & paramedical, nursing, allied health, administrative officers).   ",veronica.khoo.e.j@nhcs.com.sg  ,"Medicine, Diseases and Disorders",SingHealth Fund Limited,http://www.nhcs.com.sg,"5 Hospital Drive, Singapore, 169609 SINGAPORE"
91 99 720 39890        ,To evolve a sustainable and replicable model for an effective and decentralized public school system.   ,Prasanna@sikshana.org  ,Education,Sivasri Charitable Trust (Sikshana Foundation),http://www.sikshana.org,"#41.K.R.Road, Basavanagudi, Bangalore, 560004 INDIA"
080-41320797   +911143123700    ,"Mission of the Smile Foundation is to empower underprivileged children, youth, and women through quality education, nutrition support, innovative healthcare and employability enhancement programmes.   ",amit@smilefoundationindia.org  ,"Child and Youth Development, Women and Girls",Smile Foundation,http://www.smilefoundationindia.org/,"V-11, Level - 1, Green Park Extension,, New Delhi, 110016 INDIA"
91-124-233385191-124-2391195       ,    ,indira@snsf.org  ,Community Improvement,SNS Foundation,,"Head Office 88-89 Industrial Development Colony Mehrauli-Gurgaon Road, Gurgaon, 122001 INDIA"
91 22 2386 505391 22 2388 7566       ,    , spar@sparcindia.org ,"Social Justice, Aid and Development",Society for Promotion of Area Resource Centres (SPARC),http://www.sparcindia.org,"52 Miami Bhulabhai Desai Road, Mumbai, 400 026 INDIA"
91-044-26731215        ,    ,samugam1@yahoo.com  ,Education,Society for Social Education and Development (SAMUGAM),,"Post Box No 2697 No. 219 12th East Cross Road MKB Nagar, Chennai, 600 039 INDIA"
0222676684502226769077       ,"To reach out to the powerless and the voiceless, especially women and children, and empowering them.   ",   ,"Aid and Development, Women and Girls",Society of the Helpers of Mary (Bal Bhavan Girls' Home),http://soceietyofthehelpersofmary.org,"Society of the Helpers Of Mary Shraddha Vihar, Andheri West Veera Desai Road, Mumbai, 400058 INDIA"
+911124374501+911124374502       ,"# Protect fundamental human rights, increase access to basic resources for marginalized communities, and eliminate discrimination.# Create a justice delivery system that is accessible, accountable, transparent, efficient and affordable, and works for the underprivileged# Raise the level of pro bono legal expertise for the poor to make the work uniformly competent as well as compassionate.# Professionally train a new generation of public interest lawyers and paralegals who are comfortable both in the world of law as well as in social movements, and who learn from the social movements to refine legal concepts and strategies.# Work towards an increased awareness of rights as universal and indivisible, and their realization as an immediate goal.    ",debashish.mohanta@hrln.org  ,Housing and Shelter,Socio Legal Information Centre,http://www.hrln.org,"Engineers House 4th floor, 86 Bombay Samachar Marg, Mumbai, 400023 INDIA"
662380117708755576       ,"SOS Children's Villages programs reach out to children in Thailand who have lost the care and protection of their parents, to provide them with a loving home and family once again.   ",chantira.somboonkerd@sos-thailand.orginfo@sos-thailand.org ,"Child and Youth Development, Education",SOS Children Foundation of Thailand under the Royal Patronage of the H.M. the Qu,http://www.sosthailand.org,"18 M.3, Soi Boonsiri Sukumvit Road, Meuang, 10270 THAILAND"
911143239200911143239292       ,"WE BUILD FAMILIES FOR CHILDREN IN NEEDWe work for children who are orphaned, abandoned or whose families are unable to care for them. We give these children the opportunity to build lasting relationships within a family.Our family approach in the SOS Children's Village is based on four principles: Each child needs a mother, and grows up most naturally with brothers and sisters, in their own house, within a supportive village environment. WE HELP THEM SHAPE THEIR OWN FUTURESWe enable children to live according to their own culture and religion, and to be active members of the community.We help children to recognise and express their individual abilities, interests and talents.We ensure that children receive the education and skills training they need to be successful and contributing members of society. WE SHARE IN THE DEVELOPMENT OF THEIR COMMUNITIESWe share in community life and respond to the social development needs of society's most vulnerable children and young people.We establish facilities and programmes that aim to strengthen families and prevent the abandonment of children.We join hands with community members to provide education and health care, and respond to emergencies.   ",b.ambika@soscvindia.orgsoscvi@soscvindia.org ,Child and Youth Development,SOS Children's Villages of India,http://www.soscvindia.org,"Plot #4, Block C-1 Nelson Mandela Marg, Vasant Kunj, New Delhi, 110070 INDIA"
91-80-4074-590091-80-4074-5903       ,"Our mission is to maximize the potential of children with special needs by providing a total comprehensive rehabilitation service. We also offer community based services, outreach, and networking to promote inclusive education, accelerate disability prevention, promote community participation, strengthen and support parent self help groups, and reach out to as many persons with mental disabilities as possible.   ",spasticssocietyofkarnataka@yahoo.com  ,"Community Improvement, Medicine, Diseases and Disorders",Spastics Society of Karnataka,http://www.spasticssocietyofkarnataka.org/,"31, 5th Cross, 5th Main Road Indiranagar I Stage, Bangalore, 560038 INDIA"
62933182        ,"Special Olympics Singapore aims to provide year-round sports training and athletic competition in a variety of Olympic-type sports for children and adults with intellectual disabilities, giving them continuing opportunities to develop physical fitness, demonstrate courage, experience joy and participate in a sharing of gifts, skills and friendship with their families, other Special Olympics athletes and the Community.   ",john@specialolympics.org.sg  ,"Recreation and Sports, Disability",Special Olympics Singapore,http://www.specialolympics.org.sg,"Blk 2 St. George's Road #01-65, Singapore, 322002 SINGAPORE"
