cause_area,city,country,description,name,website
,Bangkok,Thailand,"Committee for Asian Women (CAW) is a regional network of 43 women workers member groups in 14 Asian countries which aims to empower women workers to protect, advocate, and advance their rights. Since her birth more than 30 years ago, CAW has built solidarity among women workers in Asia.",Committee For Asian Women Caw,http://cawinfo.org
"Community Service,Overseas Aid,",Bangkok,Thailand,"Control Arms is a global civil society alliance campaigning for a bulletproof Arms Trade Treaty that will protect lives and livelihoods. A bulletproof Arms Trade Treaty means an international legally-binding agreement that will stop transfers of arms and ammunitions that fuel conflict, poverty and serious violations of human rights and international humanitarian law.",International Control Arms Campaign,http://controlarms.org
"Research,",Bangkok,Thailand,"FER is a non-profit organisation based in Bangkok, Thailand. Established in 1986, FERÉ??s institutional mandate is to conduct research and produce research based documents regarding ecological issues with the perspective of sustainable development and greater participation of local communities within the Mekong Region.",Foundation For Ecological Recovery,http://www.terraper.org
"Animal,",Bangkok,Thailand,"The Thai Animals Guardians Association (Thai AGA) is a non-profit organization concerned directly with animal rights and animal welfare in Thailand. Our association registration number is ?. 3993/2546 and our Environmental Protection and Natural Resource Conservation Organization registration number is 3/2545. Thai AGA aims to protect animals, promote kindness, and relieve animal suffering. Of all animals, commercial animals and pets are the closest and most dependent on humans. They also face the most risk of exploitation and cruelty. Strayed animals and disabled animals are direct results of pet neglect, which can lead to many health and social problems. Our assistance to animals is given through our three major areas of work: animal rescue (for animals in need of emergency relief); animal clinic (a less expensive alternative for pet owners, providing treatment to animals); and mobile clinic (providing neutering and spaying services to animal lovers to control the population of strays). Other work include campaigns against elephants entering cities and dog skin and meat trade; as well as being a member of the drafting committee of the Prevention of Cruelty Against Animals Act.",Thai Animal Guardian Association Aga,http://www.thaiaga.org
"Disabilities,",Bangkok,Thailand,"National Council on Social Welfare of Thailand (NCSWT) is a non É?? profit organization, founded in 1960 to serve as the coordinating center on social welfare and social development among government and private organizations. NCSWT provides leadership in the voluntary sectors and collaborates with government agencies other NGOs to engage in philanthropic activities for people in distress and people with disabilities.",National Council On Social Welfare Of Thailand Under Royal Patronage Ncswt,http://www.ncswt.or.th
,Bangkok,Thailand,"Palang Thai is a Thailand-based non-profit organization that works to ensure that the transformations that occur in the region's energy sector are economically rational, and that they augment, rather than undermine, social and environmental justice and sustainability.",Palang Thai,http://www.palangthai.org
"Environment,",Bangkok,Thailand,"Founded in 2000, PeunPa works in partnership with governments, communities, corporations, and other NGOs worldwide to build innovative responses against the illegal wildlife trade and habitat destructions. PeunPaÉ??s programs are designed to address the entire cycle of crimes against nature; from poaching and logging in protected areas, to smuggling and the subsequent sale and consumption in urban areas.",Peunpa Foundation,http://www.peunpa.org
"Human Rights,",Bangkok,Thailand,"The HURFOM was founded by pro-democracy students from the 1988 uprising and more recent activists and Mon community leaders and youths, and it main aim is for the restoration of democracy, human rights and genuine peace in Burma. HURFOM is a non-profit organization and all its members are volunteers who have the same opinion for the same aim. By accepting the main aim, we would like to participate in struggle for the establishment of a democratic Burma doing our part as a local ethnic human rights group, which is monitoring the human rights situation in Mon territory and other areas southern part of Burma. We provide information and reports to all campaign organizations to get helps from the international community for democratic reform in Burma. For this project, HURFOM has produced a monthly human rights report, with the name of É??The Mon ForumÉ?ù for 9 years.",Human Rights Foundation Of Monland Hurfom Burma,http://www.Rehmonnya.org
"Environment,",Bangkok,Thailand,"The Regional Office for Asia and the Pacific provides leadership and encourages partnership in caring for the environment by inspiring, informing, and enabling nations and peoples in Asia and the Pacific to improve their quality of life without compromising that of future generations.",Unep Regional Office For Asia And The Pacific Unep-roap,http://www.roap.unep.org
"Research,",Bangkok,Thailand,The Thailand Development Research Institute (TDRI) was established as a public policy research institute in 1984. Its legal form is that of a private non-profit foundation. It provides technical analysis (mostly but not entirely in economic areas) to various public agencies to help formulate policies to support long-term economic and social development in Thailand.,Thailand Development Research Institute Tdri,http://www.info.tdri.or.th
"Human Rights,",Bangkok,Thailand,"The Jesuit Refugee Service (JRS) is an international Catholic organization with a mission to accompany, serve and defend the rights of refugees and forcibly displaced people. Founded by the Society of Jesus in 1980 and now working in over 50 countries, the priority of JRS is to be where the need is greatest or where no other organization is present.",Jesuit Refugee Service Jrs Thailand,http://www.jrs.or.th
,Bangkok,Thailand,"MRLC is a non-profit association of the legal communities of Cambodia, Lao P.D.R., Thailand and Vietnam established to promote the rule of law, encourage sustainable socio-economic development and facilitate the process of legal development within the countries of the Region. MRLC furthers this mission through a variety of legal programs, which enhance legal education, strengthen legal capacity, encourage complementarity of legal systems and create a regional approach of problem solving.",Mekong Regional Law Center Mrlc,http://www.mekonglawcenter.org
"Children,",Bangkok,Thailand,"Mercy Centre is a shelter for street kids, four orphanages, a hospice, a home for mothers and children with HIV/AIDS, a 400-pupil kindergarten, a community meeting place, and a serene haven in the slums with small gardens and playgrounds. Originally built on a former Buddhist Temple site on port authority property, Mercy Centre has stood in some shape or form for 30 years. In 2000, it was rebuilt through a generous gift to accommodate our expanding services to orphans, street children, and children with HIV/AIDS.",Human Development Foundation,http://www.mercycentre.org
"Environment,",Bangkok,Thailand,"The Mekong Environment and Resource Institute (MERI) was established in 1999 to conduct research on the issues and impacts resulting from development of the Greater Mekong Region overall, and the Mekong River Basin in particular. The Institute is founded in the belief that cooperation and collaboration among the peoples and governments of the Greatre Mekong Region are the most effective means to achieve the sustainable devolopment of national economies, while protecting essential natural resources, preserving biological diversity, and ensuring the social well-being, culture and traditions, and heritage of communities sharing the Mekong River, its resource and its bounty.",Mekong Environment And Resource Institute Meri,http://www.merimekong.or.th
"Educational,",Bangkok,Thailand,"GoodwillÉ??s mission statement is to improve the quality of life of disadvantaged Thai women through education, skills training and career services.",The Goodwill Group Foundation,http://www.goodwillbangkok.org/index.asp
"Environment,",Bangkok,Thailand,"GREENPEACE began with a small group of individuals who decided to get together to protest against nuclear testing at Amchitka, off the west coast of Alaska. They went on to form GREENPEACE and later initiated campaigns on major environmental issues. One of the founding principles of GREENPEACE is to bear witness - that is to watch and record environmental destruction. This principle of direct action together with peaceful confrontation, has been the cornerstone of GREENPEACE's campaigns.",Greenpeace Thailand,http://www.greenpeace.or.th
"Environment,",Bangkok,Thailand,"Green World Foundation under the Royal Patronage of H.R.H Princess Galyani Vadhana Kromluang Naradhivas Rajanagarindra. Founded in 1991, the Green World Foundation is a non-profit organisation which collaborates closely with youth, educators. practitioners, and community leaders throughout Thailand to inspire the development and adoption of environmental ethics, and strengthen the capacity for proactively contributing to the sustainable care of the local environments.",Green World Foundation Gwf,http://www.greenworld.or.th
"Research,",Bangkok,Thailand,"Starting expenses, core infrastructure (office and laboratory), and salaries of some research staff memberswere funded by TRCS, ITEC, and NCHECR. Expenses for the studies performed",The Hiv Netherlands Australia Thailand Research Collaboration,http://www.hivnat.org/
"Educational,Overseas Aid,",Bangkok,Thailand,"The IAUP is an association of university chief executives from higher education institutions around the world. The primary purpose is to strengthen the international mission and quality of education of these institutions in an increasingly interdependent world, and to promote global awareness and competence as well as peace and international understanding through education.",International Association Of University Presidents,http://www.iaups.org
"Human Rights,",Bangkok,Thailand,"The Friedrich-Ebert-Stiftung (FES) was founded in 1925 as a political legacy of Germany's first democratically elected president, Friedrich Ebert.",Friedrich-ebert-stiftung Fes Thailand,http://www.fes-thailand.org
"Research,",Bangkok,Thailand,"Focus on the Global South (Focus) is a non-governmental organisation with twenty staff working in Thailand, the Philippines and India. Focus was established in Bangkok in 1995 and is affiliated with the Chulalongkorn University Social Research Institute.",Focus On The Global South,http://www.focusweb.org
"Environment,Human Rights,Hunger/Poverty,",Bangkok,Thailand,"A social entrepreneur is someone who recognizes a social problem and uses entrepreneurial principles to organize, create, and manage a venture that creates social change. Social entrepreneurs are innovative, resourceful, and results oriented individuals who utilize the best of the business, nonprofit and technology worlds to develop innovative solutions that maximize their social impact.",Youth Social Enterprise Initiative,http://www.globalknowledge.org/ysei
"Children,",Bangkok,Thailand,"We serve happiness through giving simple slap-stick comedy shows and useful goods to people whoÉ??s entire lives as innocent victims of fate, may be filled with only negative, abusive or unhappy experiences.We know that positive experiences like having a good old-fashioned laugh, helps children living in difficult circumstances to cope and gives them a great memory that no-one can steal from them.",Gift Of Happiness Foundation,http://www.gohappiness.org
"Environment,",Bangkok,Thailand,"Formed in 1997 by Patama Roonrakwit, CASE is a group of architects that have come together under a common belief:in participatory design process that challenges the conventional role of architects.",Community Architects For Shelter And Environment Case,http://www.casestudio.info
"Children,",Bangkok,Thailand,"Child Workers in Asia Foundation (CWA) was established in 1985 as a support group for child workers in Asia, and the NGOs working with them. From a small group of five organizations, it now brings together over 78 member organizations working on child labour in 11 countries. It facilitates sharing of expertise and experiences between NGOs and strengthens their collaboration to jointly respond to the exploitation of working children in the region.",Child Workers In Asia Cwa,http://www.cwa.tnet.co.th
"Children,Disabilities,Educational,",Bangkok,Thailand,"D-Pal is an online charity co-established by EDF-Thai and EDF-Lao in 2003. D stands for darunee or darun, which means children in Thai, and a Pal is a friend. So we, D-Pal, would like to invite all friends from around the world to unite together to offer educational opportunities to poor children in the northeast of Thailand and Lao PDR, as well as helping to raise public awareness that education is crucial to effectively reducing poverty worldwide.                                                                            As a registered charity, we act in compliance with the laws of the countries in which we work. With cooperation from grassroots teachers and local officials from the Ministry of Education, our assistance reaches and directly benefits disadvantaged students and schools in remote rural areas, making our work accountable to the public.",D-pal Club Of Thailand,http://www.d-pal.org
"Children,",Bangkok,Thailand,In the nineteen sixties one Klong Toey Slum dweller was a teenage girl working on the docks to pay her way through a teacher training college.,Duang Prateep Foundation,http://www.dpf.or.th
"Human Rights,",Bangkok,Thailand,"In Asia today, more and more people are deprived of their human rights and basic needs. Market-driven economic policies widen social inequality. They cause food insecurity and environmental degradation; migration of labor and job insecurity; displace communities and distort cultural values. Consumerism, materialism, and the commodification of human beings are the result. Widespread social conflict, fundamentalism and civil wars encourage regional instability and increase human misery.",Asia Partnership For Human Development Aphd,http://www.aphd.or.th
"Medical,",Bangkok,Thailand,"APN+ is the network of PLHIV living in Asia Pacific region. It was established in 1994 at a meeting in Kuala Lumpur by 42 PLHIV from eight countries. It was established in response to the need for a collective voice for PLWHA in the region, to better link regional PLHIV with the Global Network of PLHIV (GNP+) and positive networks throughout the world, and to support regional responses to widespread stigma and discrimination and better access to treatment and care.",Asia Pacific Network Of People Living With Hiv/aids,http://www.apnplus.org/
"Children,",Bangkok,Thailand,"In September 2006, Viva Network celebrated its 10th birthday. In ten years the network has grown into a global community. Local networks are now found in over 40 countries, and together impact more than 1.2 million children. More than 80 international Christian organisations are also members of the Viva Network. Much of this growth has been made possible by a team of people working full time for Viva Network though our international and regional centres. We now call this team Viva. As Viva, we are totally committed to serving you, the members of Viva Network, as best we can.",San Jai,http://www.asia.viva.org/
,Bangkok,Thailand,"The Asia-Pacific Alliance: Advancing the ICPD Agenda (APA/ICPD) is a network of non-governmental organizations (NGOs), overseas development agencies (ODAs), and philanthropic foundations from donor countries in the Pacific Rim (Australia, Canada, Japan, New Zealand, South Korea, Thailand, and the United States). It promotes effective implementation of the Programme of Action adopted by the International Conference on Population and Development (ICPD) in 1994 at Cairo and supplemented by Key Actions adopted by the 21st Special Session of the United Nations General Assembly on ICPD + 5 in 1999.",Asia-pacific Alliance,http://www.asiapacificalliance.org
,Bangkok,Thailand,"The Asia Rice Foundation is a regional nonprofit organization that works for an Asia that can feed itself, treasures the rich heritage of its rice cultures, cares about the well-being of both its rice consumers and producers, and values its rice-growing land as a precious commodity to be shared with future generations. It brings together institutions and individuals interested and concerned about 'rice'.",Asia Rice Foundation,http://www.asiarice.org
,Bangkok,Thailand,"D-Pal is an online charity co-established by EDF-Thai and EDF-Lao in 2003. D stands for darunee or darun, which means children in Thai, and a Pal is a friend. So we, D-Pal, would like to invite all friends from around the world to unite together to offer educational opportunities to poor children in the northeast of Thailand and Lao PDR, as well as helping to raise public awareness that education is crucial to effectively reducing poverty worldwide.                                                                    As a registered charity, we act in compliance with the laws of the countries in which we work. With cooperation from grassroots teachers and local officials from the Ministry of Education, our assistance reaches and directly benefits disadvantaged students and schools in remote rural areas, making our work accountable to the public.",D-pal For Tsunami,http://d-pal.org
"Children,Overseas Aid,",Bangkok,Thailand,Vision,End Child Prostitution And Trafficking,http://ecpat.net
"Community Service,Overseas Aid,",Bangkok,Thailand,"Shelter is a primary need for all. At its most basic, it is just a roof and four walls where we are safe and dry. Habitat for Humanity believes that simple, decent shelter is a basic human right and helps break the cycle of poverty. The need in the Asia-Pacific region is immense.Habitat for Humanity builds, rehabilitates and repairs simple, decent, affordable homes in sustainable communities with support from homeowner families, volunteers, donors and partner organizations in more than 20 countries across the Asia-Pacific region.",Habitat For Humanity,http://habitat.org/ap
"Human Rights,",Bangkok,Thailand,The Access Initiative (TAI) is the worldÉ??s largest network of civil society organizations working to ensure that people have the right and ability to influence decisions about the natural resources that sustain their communities.,Access Initiative Tai,http://www.accessinitiative.org
"Human Rights,",Bangkok,Thailand,"ALTSEAN-Burma (Alternative ASEAN Network on Burma) is a network of organizations and individuals based in ASEAN member states working to support the movement for human rights and democracy in Burma. The network is comprised of human rights & social justice NGOs, political parties, think tanks, academics, journalists and student activists. We were formed at the conclusion of the Alternative ASEAN Meeting on Burma held at Chulalongkorn University, Bangkok, in October 1996.",Altsean-burma,http://www.altsean.org
,Chiang Mai,Thailand,"The Shan Herald Agency for News is a private, nonprofit organization established on 27 December 1991, in Shan State.  Since then, it has been publishing reports and periodicals in Shan, Burmese, English, and Thai, featuring politics, literature, human rights reporting and opinion columns.  S.H.A.N. materials are read by people throughout Shan State and refugees living in Thailand.  S.H.A.N. also publishes Freedom Way, an annual journal; periodic magazines such as Outlook and Knowledge; Shan-language history, literature and civics textbooks; and booklets such as Towards the Third Union of Burma and The Village of the Generals: An Inside Story.",Shan Herald Agency For News S.h.a.n.,http://www.shanland.org
"Children,",Chiang Mai,Thailand,"Support the Children Foundation is a non-governmental organization established on September 2, 1992 to give tender loving care to abandoned children with AIDS and to promote campaigning to stop HIV/AIDS as soon as possible.","Support The Children Foundation, Thailand",http://www.support-the-children.org
"Hunger/Poverty,",Chiang Mai,Thailand,"Since 1974, Heifer International Thailand has been working to end hunger and poverty in Thailand through the gift of livestock and training.  To date, Heifer Thailand has assisted over 20,000 families in more than 1,600 villages in 3 countries; Thailand, Myanmar and Lao PDR, to become self-reliant.  Families have been Passing on the Gifts through sharing an offspring of an animal or repay a loan, which is then given to other needy families.",Heifer International Thailand Hit,http://www.heiferthailand.org
,Chiang Mai,Thailand,"The IMMF was founded in 1991 by British photojournalist Tim Page, who survived multiple wounds while covering the Vietnam War but lost a number of close colleagues in the conflict.  The foundation was set up in memory of those killed on all sides while covering the wars in Vietnam, Laos and Cambodia since 1945.",Indochina Media Memorial Foundation Immf,http://www.immf.or.th
"Disabilities,Overseas Aid,",Chiang Mai,Thailand,"The Foundation To Encourage The Potential Of Disabled Persons is a legally registered, private Thai Foundation originally set up in 1993 in the city of Chiang Mai (northern Thailand) by Sunan and Don Willcox. The Foundation is dedicated to empowering disabled men and women and providing them with professional skills, as well as with health, employment, and dignity. The Foundation has no hidden religious or political agenda.","Foundation To Encourage The Potential Of Disabled Persons In Chiang Mai,thailand",http://www.infothai.com/disabled
"Human Rights,",Chiang Mai,Thailand,"The International Alliance of Indigenous and Tribal Peoples of the Tropical Forests is a worldwide network of organisations representing indigenous and tribal peoples living in tropical forest regions (Africa, the Asia-Pacific and the Americas). The Alliance was founded in 1992 during an indigenous conference in Malaysia, where the Charter of the Alliance was adopted, and has been fighting continuously for the rights of indigenous and tribal peoples ever since.",International Alliance Of Indigenous And Tribal Peoples Of The Tropical Forests,http://www.international-alliance.org
"Educational,Overseas Aid,",Chiang Mai,Thailand,"ChildÉ??s Dream was established in 2003 as a charitable organisation dedicated to unconditional help for underprivileged children, youth and communities in the 'Mekong Sub-Region', which covers Myanmar, Laos, Cambodia and the North of Thailand. This region is at the core of many humanitarian crises and children are suffering the most. We focus on extremely remote and neglected areas in this region.",Child`s Dream,http://www.childsdream.org
"Human Rights,",Chiang Mai,Thailand,"In her 2002 report before the UN Commission on Human Rights, Ms. Hina Jilani, UN Special Representative of the Secretary General on Human Rights Defenders (UN SRSG HRD) addressed the critical situation of women human rights defenders (WHRDs). The UN SRSG HRD indicated that out of the 161 urgent appeals she had sent to Governments during that year, 70 concerned women defenders or womenÉ??s organizations.",Defending Women - Defending Rights,http://www.defendingwomen-defendingrights.org
"Religious,",Chiang Mai,Thailand,"Diakonia is a global network of people, organisations and churches working towards more people living a life in dignity. We support 400 partners in about 30 countries.",Diakonia Thailand,http://www.diakonia.se
"Children,",Chiang Mai,Thailand,"In 2003, Daniel Siegfried and Marc Jenni established ChildÉ??s Dream as a charity organisation dedicated to unconditional help for underprivileged children in the 'Mekong Sub-Region'. This region is at the core of many humanitarian crises and children are suffering the most. Child's Dream's work is focused on educational infrastructure (nurseries, schools, vocational training centers and colleges), but also includes health care programmes such as the Children Medical Fund. Child's Dream also provides stationery to over 55,000 children all over the region.",Diversethics Foundation,http://www.diversethics-foundation.org
"Community Service,Overseas Aid,",Chiang Mai,Thailand,"To bring help, hope and love to people of all faiths and ethnicities in the conflict zones of Burma, to shine a light on the actions of oppressors, to stand with the oppressed and support leaders and organizations committed to liberty, justice and service.",Free Burma Rangers,http://freeburmarangers.org
"Community Service,Overseas Aid,",Chiang Mai,Thailand,Dr Chao Duangduen Na Chaing Mai is the Chairlady of the foundation. Dr. Chao Duangduan is particularly renowned for her great sacrifice to the community. Dr Chao Duangduan has been an inspiration to us all and is admired for her selflessness. She is an excellent public speaker and master of ceremonies and has influenced many people into recognizing the massive role that the Northern Royal Family plays in the community.,Kids Ark Thailand,http://kidsarkfoundation.org
"Children,",Chiang Mai,Thailand,"The vast majority of street children living in Thailand have been sold at the Burmese border and brought into Thailand to be exploited. The average child sold is not even a year old and can be bought for less than $3.00. Once in Thailand,these children are considered stateless people by the Thai government and are designed Identity Cards which ensures public education,health care and the ability to legally work.",Volunteer Group For Children`s Development Vgcd,http://vgcd.org
,Chiang Mai,Thailand,"APWLD is an independent, non-government, non-profit organization. It is committed to enabling women to use law as an instrument of social change for equality, justice and development. It has a consultative status at the Economic and Social Council of the United Nations (ECOSOC). Our objectives are to enable women in the region to use law as an instrument of change for the empowerment of women in their struggle for justice, peace, equality and development; to promote basic concepts of human rights in the region as enshrined in the Universal Declaration of Human Rights, the UN Convention on the Rights of the Child, the Convention on the Elimination of All Forms of Discriminations Against Women (CEDAW) and other relevant international human rights instruments.","Asia Pacific Forum On Women, Law And Development, Apwld",http://www.apwld.org
,Bangkok,Thailand,"FFW was formed in 1984 when we established a Women's Information Centre, providing advice to Thai women who were to go abroad. In 1986, we opened a women's shelter for victims of domestic violence. The Foundation for Women (FFW) is a non-governmental organization providing services to women and based in Bangkok, Thailand.",Foundation For Women Ffw,http://www.womenthai.org
,Bangkok,Thailand,"The government policy to develop Thailand into a newly industrialised country through promotion of foreign investment and export industries, which has turned the country consequently into a production base of transnational corporations that benefit from exploitation of Thai labour forces, has led to a rapid increase in number of factories at the same time as severity of labour problems, including low wages, long working hours, poor safety, health and other working conditions, retrenchment, and violation of workersÉ?? rights, such as rights to form labour unions and to negotiate with the employers.",Centre For Labour Information Service And Training Clist,http://www.workers-voice.org
"Religious,",Bangkok,Thailand,"World Vision is an international partnership of Christians whose mission is to follow our Lord and Savior Jesus Christ in working with the poor and oppressed to promote human transformation, seek justice and bear witness to the good news of the Kingdom of God.",World Vision Thailand,http://www.worldvision.or.th
"Children,",Bangkok,Thailand,Youth Social Enterprise Initiative (YSEI) is a high-engagement social venture program for emerging young social entrepreneurs in developing countries.,Youth Social Enterprise Initiative-ysei,http://www.ysei.org
"Children,",Chiang Mai,Thailand,"Thai Youth Action Programs which was previously known as Thai Youth Aids Prevention Project was formed in 1995 by three American college graduate students Tamar Renaud, Frances Balamuth and Jeremy Hess. The graduates created TYAP to promote young peopleÉ??s participation in society and to develop their leadership skills through prevention of the AIDS epidemic in Northern Thailand. Our mission is to engage young people in social change so that they can find creative and powerful solutions to fighting the youth issues that they face in their daily lives. We accomplish this mission by working with 12-25 year olds so that they can develop a belief in their own abilities, take action in community projects, and carry positive messages to their peers.",Tyap--thai Youth Aids Prevention Project,http://www.tyap.org
"Religious,",Chiang Mai,Thailand,The Upland Holistic Development Project is a non-governmental organization registered with the Department of Social Welfare in Thailand. The project works under the Christian Service Foundation that supports work closely related to denominational activities of the Church of Christ in Thailand as well as the Thailand Baptist Missionary Fellowship.,Upland Holistic Development Project,http://www.uhdp.org
"Educational,Human Rights,Hunger/Poverty,",Chiang Mai,Thailand,"The organization was founded in 1990, with the intent to empower indigenous women and support their needs and basic human rights. The organization has evolved over the years, especially in the context of the influx of refugees from Burma.",Women's Education For Advancement And Empowerment,http://www.weave-women.org
"Elderly,Overseas Aid,",Chiang Mai,Thailand,"HelpAge International helps older people claim their rights, challenge discrimination and overcome poverty, so that they can lead dignified, secure, active and healthy lives.",Helpage International,http://www.helpage.org
"Overseas Aid,",Ho Chi Minh City,Vietnam,"Established in 1951, IOM is the leading inter-governmental organization in the field of migration and works closely with governmental, intergovernmental and non-governmental partners.",International Organization For Migration Iom,http://www.iom.int.vn
,Hanoi,Vietnam,"Volunteers For Peace Vietnam (VPV) is a non-profit, voluntary organization founded in 2005 with the aim to promote voluntary service as a mean of cultural and educational exchange among people, for peace and friendship, and as an approach to address social problems.",Volunteers For Peace Vietnam,http://www.vpv.vn
"Educational,Environment,",Hanoi,Vietnam,"VFCD is a non-goverment,non-profit volunteering organization,which is established by enthusiastic people having participated in long-term workcamps of International Volunteer organizations and Vietnamese Voluntary Network of Youth under direct central.VFCD is dicrectly under Vietnam  Assosiation for Conservation of  Nature and Environment-VACNE (www.vacne.org.vn). Our activities and operation are controlled  by principles, purposes and regulations of VACNE.",Volunteer For Community Development And Environment Education,http://www.vfcd.org
"Arts & Culture,",Ha Noi,Vietnam,"In order to devise a Museum Capacity Building Programme for Asia and the Pacific, UNESCO in cooperation with International Council of Museums and Asian Academy for Heritage Management has conducted museum surveys throughout the region. The survey includes two parts. Part I, the Training Needs Assessment Questionnaire, aims at forming an overview of how museums function in the region as a whole. Part II, the Specific Needs and Opportunities, focuses on the training needs of museum staff, and opportunities for collaboration between museums, and between museums and other institutions.",Unesco,http://www.unesco.org.vn
"Environment,Hunger/Poverty,Medical,",Ha Noi,Vietnam,"UNDP is the UN's global development network, an organization advocating for change and connecting countries to knowledge, experience and resources to help people build a better life. We are on the ground in 166 countries, working with them on their own solutions to global and national development challenges. As they develop local capacity, they draw on the people of UNDP and our wide range of partners.",United Nations Development Programme Undp,http://www.undp.org.vn
"Environment,",Ha Noi,Vietnam,"Education for Nature-Vietnam (ENV) was established in 2000 as VietnamÉ??s first non-governmental organization focused on conservation of nature and the environment through education.  Our mission is to foster greater understanding amongst the Vietnamese public about environmental issues of local, national and global significance, ranging from protection of wildlife and natural ecosystems to climate change. We employ creative and innovative strategies to influence attitudes and behavior, not only highlighting the need to protect VietnamÉ??s rich natural heritage and the living world around us, but also encouraging greater public participation in achieving this important and challenging task.",Education For Nature  Vietnam(env),http://www.envietnam.org
"Research,",Ha Noi,Vietnam,The Institute for Social Development Studies (ISDS) is a not-for-profit and non-governmental research and advocacy organizations registered under the Vietnam Union of Science and Technology Associations.  ISDS dedicates to promote economic and social development in Vietnam,Institute For Social Development Studies,http://www.isds.org.vn
"Overseas Aid,",Thanh Pho Hue,Vietnam,"Friends of Hue Foundation is a 501(c)(3) charitable, non-profit tax-exempt, non-governmental organization (NGO/INGO). The primary mission of the foundation is to provide assistance to impoverished people and victims of natural disasters in Thua Thien Hue province of Central Vietnam.",Friends Of Hue Foundation,http://www.friendsofhue.org
"Environment,",Ninh Binh Province,Vietnam,"The Endangered Primate Rescue Center (EPRC), located at Cuc Phuong National Park, southwest of Hanoi, Vietnam, is a non-profit organization dedicated to the rehabilitation, breeding, research, and conservation of endangered primates, and to the protection of their habitats.",Endangered Primate Rescue Center Eprc,http://www.primatecenter.org
"Environment,",Ha Long City,Vietnam,"The EcoBoat is a floating classroom, and beautiful Ha Long Bay is its campus for a unique-to-Vietnam program of hands-on, experiential environmental education.",Ecoboat,http://www.ecoboat.org
"Environment,Hunger/Poverty,",Ho Chi Minh City,Vietnam,"ENDA Vietnam is the Vietnamese antenna of enda Tiers Monde, a South-based NGO that focuses on a research-action-training process in the development field. The primary focus of enda's work is community development, poverty reduction, and environmental improvement in both urban and rural contexts.",Enda Vietnam,http://www.endavn.org.vn
"Children,Disabilities,Historical,Hunger/Poverty,Overseas Aid,",Hanoi,Vietnam,Blue Dragon is a grassroots NGO that works with children in crisis throughout Vietnam.,Blue Dragon Children's Foundation,http://www.streetkidsinvietnam.com
"Medical,",Hanoi,Vietnam,"You will discover how ADRA Vietnam is making a difference in Vietnam through the various projects that we are implementing. You will also get a glimpse of ADRA VietnamÉ??s prospective projects and learn how you can contribute to our vision of bringing relief and empowerment to the people of Vietnam. Our goal is to provide you with all the information that you need to get involved with ADRA Vietnam through volunteerism or full-time employment, monetary donations or simply by telling others about ADRA Vietnam.",Adra In Vietnam,http://www.adravietnam.org
"Children,Community Service,",Ho Chi Minh City,Vietnam,Mission Statement: To aid and assist victims of the Vietnam War (1962 to 1975) focusing on children and young adults who grew up without the benefits of a father/grandfather. To provide an opportunity to Vietnam Veteran servicemen to be involved in programs of this foundation.,Waifs Of War Foundation,http://www.waifsofwar.org
"Children,Educational,Overseas Aid,",Ho Chi Minh City,Vietnam,Education for Development (EFD) is a small international organization that works with Vietnamese partners to improve and expand their educational services for disadvantaged children and youth.,Education For Development Vietnam,http://www.educationfordevelopment.org
"Overseas Aid,",Minh ,Vietnam,"The Consular Club of Ho Chi Minh City, founded in 1994, is a non-profit organization comprised of persons from all countries represented by a Consular mission in Ho Chi Minh City. The Club is non-political and its members meet on a regular basis with the principal objective of making a contribution towards improving the quality of life of disadvantaged groups mainly in southern Viet Nam.The main fundraising activity is an annual Charity Bazaar typically held in November. The funds raised are thereafter distributed according to the agreed guidelines.",The Consular Club,http://consularclub.com
"Children,Hunger/Poverty,Overseas Aid,",Loveland,Vietnam,"On April 30,1975 binh rybacki ( then Nguyen Thi Thanh Binh) fled Vietnam as Communist troops overran Saigon. She and her family settled in the United States and started new lives.",Children Of Peace International,http://www.childrenofpeace.org
"Medical,",Ho Chi Minh City,Vietnam,"The Little Rose Shelter (Mai Am Hoa Hong Nho) was established in 1992 in response to growing incidents of human trafficking in Vietnam. Since its founding, Little Rose has provided a safe shelter to hundreds of young girls and helped them to build a positive future.",The Little Rose Shelter,http://hcs.harvard.edu/~rose
"Human Rights,",Hanoi,Vietnam,"The United Nations Inter-Agency Project on Human Trafficking (UNIAP) was established in June 2000 to facilitate a stronger and more coordinated response to human trafficking, in the Greater Mekong Sub-region (GMS) and beyond. UNIAP is managed by a headquarters in Bangkok, with country project offices in the capitals of Cambodia, China, Lao PDR, Myanmar, Thailand and Viet Nam.  The seven UNIAP offices have a combined staff of approximately 30.  While UNIAP is a UN inter-agency project, UNIAP receives financial support from its own bilateral and multilateral funding and not from UN agencies, allowing it to retain a neutral position within the UN that serves all UN agencies, governments, and NGOs equally.  It is the only inter-agency coordinating body on human trafficking of its kind within the United Nations system.",Uniap United Nations Inter-agency Project On Human Trafficking,http://www.no-trafficking.org
"Educational,Environment,Human Rights,Hunger/Poverty,Overseas Aid,",Hanoi,Vietnam,"The organization Solidarit??s Jeunesses Vietnam (SJ Vietnam) is a non-profit international youth volunteering organization in Hanoi, Vietnam. It is a small organization, set up for, and by young volunteers. In december 2007, 3207 young vietnamese volunters were official members of SJ Vietnam.Our volunteers are active in the organization as work camp leaders, project managers or as volunteer on our local projects.",Sj Vietnam,http://www.sjvietnam.org
